"Export for HP:0000252"
"Gene","Associated diseases"
"MECP2 (4204)","LUBS X-LINKED MENTAL RETARDATION SYNDROM... (OMIM:300260), ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO ... (OMIM:300673), RETT SYNDROME (OMIM:312750), MENTAL RETARDATION, X-LINKED, SYNDROMIC ... (OMIM:300055)"
"CHRNA1 (1134)","MYASTHENIC SYNDROME, CONGENITAL, 1B, FAS... (OMIM:608930), MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE (OMIM:253290), MYASTHENIC SYNDROME, CONGENITAL, SLOW-CH... (OMIM:601462)"
"ELAC2 (60528)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:615440)"
"ALX4 (60529)","FRONTONASAL DYSPLASIA 2 (OMIM:613451), PARIETAL FORAMINA 2 (OMIM:609597)"
"TUBG1 (7283)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:615412)"
"TUFM (7284)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:610678)"
"CHRND (1144)","MYASTHENIC SYNDROME, CONGENITAL, 3C, ASS... (OMIM:616323), MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE (OMIM:253290), MYASTHENIC SYNDROME, CONGENITAL, 3B, FAS... (OMIM:616322), MYASTHENIC SYNDROME, CONGENITAL, 3A, SLO... (OMIM:616321)"
"TBC1D24 (57465)","MYOCLONIC EPILEPSY, INFANTILE (OMIM:605021), DEAFNESS, AUTOSOMAL RECESSIVE 86 (OMIM:614617), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:615338), DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPH... (OMIM:220500), DEAFNESS, AUTOSOMAL DOMINANT 65 (OMIM:616044)"
"CHRNG (1146)","MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VAR... (OMIM:265000), MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE (OMIM:253290)"
"RNU4ATAC (100151683)","MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL... (OMIM:210710)"
"CHUK (1147)","COCOON SYNDROME (OMIM:613630)"
"SNAP29 (9342)","CEREBRAL DYSGENESIS, NEUROPATHY, ICHTHYO... (OMIM:609528)"
"FANCA (2175)","FANCONI ANEMIA, COMPLEMENTATION GROUP A (OMIM:227650)"
"EFTUD2 (9343)","MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEID... (OMIM:610536)"
"FANCC (2176)","FANCONI ANEMIA, COMPLEMENTATION GROUP C (OMIM:227645)"
"FANCD2 (2177)","FANCONI ANEMIA, COMPLEMENTATION GROUP D2 (OMIM:227646)"
"FANCE (2178)","FANCONI ANEMIA, COMPLEMENTATION GROUP E (OMIM:600901)"
"ERCC8 (1161)","UV-SENSITIVE SYNDROME 2 (OMIM:614621), COCKAYNE SYNDROME, TYPE A (OMIM:216400)"
"FANCG (2189)","FANCONI ANEMIA, COMPLEMENTATION GROUP G (OMIM:614082)"
"TUBB3 (10381)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:614039), FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENI... (OMIM:600638)"
"TUBB4A (10382)","DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT (OMIM:128101), LEUKODYSTROPHY, HYPOMYELINATING, 6 (OMIM:612438)"
"MGAT2 (4247)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:212066)"
"SALL1 (6299)","TOWNES-BROCKS SYNDROME (OMIM:107480)"
"PIGA (5277)","PAROXYSMAL NOCTURNAL HEMOGLOBINURIA (OMIM:300818), MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-... (OMIM:300868)"
"ADSL (158)","ADENYLOSUCCINASE DEFICIENCY (OMIM:103050)"
"MBTPS2 (51360)","PALMOPLANTAR KERATODERMA, MUTILATING, WI... (OMIM:300918), KERATOSIS FOLLICULARIS SPINULOSA DECALVA... (OMIM:308800), IFAP SYNDROME WITH OR WITHOUT BRESHECK S... (OMIM:308205)"
"SBF1 (6305)","CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3 (OMIM:615284)"
"NALCN (259232)","HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR R... (OMIM:615419), CONGENITAL CONTRACTURES OF THE LIMBS AND... (OMIM:616266)"
"SC5D (6309)","LATHOSTEROLOSIS (OMIM:607330)"
"COG1 (9382)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:611209)"
"COG6 (57511)","SHAHEEN SYNDROME (OMIM:615328), CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:614576)"
"UBE3A (7337)","ANGELMAN SYNDROME (OMIM:105830)"
"ARHGAP31 (57514)","ADAMS-OLIVER SYNDROME (OMIM:100300)"
"AGA (175)","ASPARTYLGLUCOSAMINURIA (OMIM:208400)"
"SCN1A (6323)","MIGRAINE, FAMILIAL HEMIPLEGIC, 3 (OMIM:609634), DRAVET SYNDROME (OMIM:607208), GENERALIZED EPILEPSY WITH FEBRILE SEIZUR... (OMIM:604403)"
"RAB3GAP2 (25782)","MARTSOLF SYNDROME (OMIM:212720), WARBURG MICRO SYNDROME 2 (OMIM:614225)"
"AGT (183)","RENAL TUBULAR DYSGENESIS (OMIM:267430)"
"RNASEH2C (84153)","AICARDI-GOUTIERES SYNDROME 3 (OMIM:610329)"
"GORAB (92344)","GERODERMA OSTEODYSPLASTICUM (OMIM:231070)"
"RECQL4 (9401)","ROTHMUND-THOMSON SYNDROME (OMIM:268400), BALLER-GEROLD SYNDROME (OMIM:218600), RAPADILINO SYNDROME (OMIM:266280)"
"AGTR1 (185)","RENAL TUBULAR DYSGENESIS (OMIM:267430)"
"SLC35A2 (7355)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:300896)"
"SCN8A (6334)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:614558), COGNITIVE IMPAIRMENT WITH OR WITHOUT CER... (OMIM:614306)"
"AIC (192)","AICARDI SYNDROME (OMIM:304050)"
"ASPM (259266)","MICROCEPHALY 5, PRIMARY, AUTOSOMAL RECES... (OMIM:608716)"
"KONDS (100653373)","MENTAL RETARDATION, MICROCEPHALY, GROWTH... (OMIM:606242)"
"TSEN34 (79042)","PONTOCEREBELLAR HYPOPLASIA, TYPE 2C (OMIM:612390)"
"EMG1 (10436)","BOWEN-CONRADI SYNDROME (OMIM:211180)"
"CRIPT (9419)","SHORT STATURE WITH MICROCEPHALY AND DIST... (OMIM:615789)"
"NOP10 (55505)","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESS... (OMIM:224230)"
"FGFR1 (2260)","PFEIFFER SYNDROME (OMIM:101600), HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR ... (OMIM:147950), TRIGONOCEPHALY 1 (OMIM:190440), JACKSON-WEISS SYNDROME (OMIM:123150), OSTEOGLOPHONIC DYSPLASIA (OMIM:166250), HARTSFIELD SYNDROME (OMIM:615465)"
"FGFR3 (2261)","CAMPTODACTYLY, TALL STATURE, AND HEARING... (OMIM:610474), BLADDER CANCER (OMIM:109800), CERVICAL CANCER (OMIM:603956), CROUZON SYNDROME WITH ACANTHOSIS NIGRICA... (OMIM:612247), THANATOPHORIC DYSPLASIA, TYPE I (OMIM:187600), LACRIMOAURICULODENTODIGITAL SYNDROME (OMIM:149730), HYPOCHONDROPLASIA (OMIM:146000), MUENKE SYNDROME (OMIM:602849), ACHONDROPLASIA (OMIM:100800), ACHONDROPLASIA, SEVERE, WITH DEVELOPMENT... (OMIM:616482), TESTICULAR TUMORSTESTICULAR GERM CELL TU... (OMIM:273300), NEVUS, KERATINOCYTIC, NONEPIDERMOLYTIC (OMIM:162900), COLORECTAL CANCER (OMIM:114500), THANATOPHORIC DYSPLASIA, TYPE II (OMIM:187601)"
"FAR1 (84188)","PEROXISOMAL FATTY ACYL-COA REDUCTASE 1 D... (OMIM:616154)"
"FTO (79068)","GROWTH RETARDATION, DEVELOPMENTAL DELAY,... (OMIM:612938)"
"FH (2271)","FUMARASE DEFICIENCY (OMIM:606812), HEREDITARY LEIOMYOMATOSIS AND RENAL CELL... (OMIM:150800)"
"ALDH3A2 (224)","SJOGREN-LARSSON SYNDROME (OMIM:270200)"
"MED17 (9440)","MICROCEPHALY, POSTNATAL PROGRESSIVE, WIT... (OMIM:613668)"
"PYCR2 (29920)","LEUKODYSTROPHY, HYPOMYELINATING, 10 (OMIM:616420)"
"TMCO1 (54499)","CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMA... (OMIM:213980)"
"DOCK6 (57572)","ADAMS-OLIVER SYNDROME 2 (OMIM:614219)"
"POMK (84197)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:616094), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:615249)"
"GMPPB (29925)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:615351), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:615352), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:615350)"
"DHTKD1 (55526)","2-@AMINOADIPIC 2-OXOADIPIC ACIDURIA (OMIM:204750), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:615025)"
"MEHMO (8422)","MEHMO SYNDROME (OMIM:300148)"
"ZBTB18 (10472)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:612337)"
"ALDH6A1 (4329)","METHYLMALONATE SEMIALDEHYDE DEHYDROGENAS... (OMIM:614105)"
"PLP1 (5354)","PELIZAEUS-MERZBACHER DISEASE (OMIM:312080), SPASTIC PARAPLEGIA 2, X-LINKED (OMIM:312920)"
"EIF2AK3 (9451)","EPIPHYSEAL DYSPLASIA, MULTIPLE, WITH EAR... (OMIM:226980)"
"KDM6A (7403)","KABUKI SYNDROME 2 (OMIM:300867)"
"NIPBL (25836)","CORNELIA DE LANGE SYNDROME 1 (OMIM:122470)"
"KCNT1 (57582)","EPILEPSY, NOCTURNAL FRONTAL LOBE, 5 (OMIM:615005), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:614959)"
"SLC9A6 (10479)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300243)"
"COG4 (25839)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:613489)"
"MOCS1 (4337)","MOLYBDENUM COFACTOR DEFICIENCY, COMPLEME... (OMIM:252150)"
"FOXG1 (2290)","RETT SYNDROME, CONGENITAL VARIANT (OMIM:613454)"
"MOCS2 (4338)","MOLYBDENUM COFACTOR DEFICIENCY, COMPLEME... (OMIM:252160)"
"GNPAT (8443)","RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TY... (OMIM:222765)"
"PMM2 (5373)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:212065)"
"HSPD1 (3329)","SPASTIC PARAPLEGIA 13, AUTOSOMAL DOMINAN... (OMIM:605280), LEUKODYSTROPHY, HYPOMYELINATING, 4 (OMIM:612233)"
"POMT2 (29954)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613150), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:613158), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613156)"
"KCTD7 (154881)","EPILEPSY, PROGRESSIVE MYOCLONIC 3, WITH ... (OMIM:611726)"
"HSPG2 (3339)","DYSSEGMENTAL DYSPLASIA, SILVERMAN-HANDMA... (OMIM:224410), SCHWARTZ-JAMPEL SYNDROME, TYPE 1 (OMIM:255800)"
"TRAPPC11 (60684)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2S (OMIM:615356)"
"AMPD2 (271)","SPASTIC PARAPLEGIA 63, AUTOSOMAL RECESSI... (OMIM:615686), PONTOCEREBELLAR HYPOPLASIA, TYPE 9 (OMIM:615809)"
"PSAT1 (29968)","PHOSPHOSERINE AMINOTRANSFERASE DEFICIENC... (OMIM:610992), NEU-LAXOVA SYNDROME 2 (OMIM:616038)"
"FRAS1 (80144)","FRASER SYNDROME (OMIM:219000)"
"FBLN5 (10516)","CUTIS LAXA, AUTOSOMAL DOMINANT 2 (OMIM:614434), CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IA (OMIM:219100), MACULAR DEGENERATION, AGE-RELATED, 3 (OMIM:608895)"
"EDC3 (80153)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:616460)"
"POLR1A (25885)","ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE (OMIM:616462)"
"POC1A (25886)","SHORT STATURE, ONYCHODYSPLASIA, FACIAL D... (OMIM:614813)"
"DCPS (28960)","AL-RAQAD SYNDROME (OMIM:616459)"
"OFD1 (8481)","SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 2 (OMIM:300209), JOUBERT SYNDROME 10 (OMIM:300804), RETINITIS PIGMENTOSA 23 (OMIM:300424), OROFACIODIGITAL SYNDROME I (OMIM:311200)"
"RNASEH2A (10535)","AICARDI-GOUTIERES SYNDROME 4 (OMIM:610333)"
"PTF1A (256297)","PANCREATIC AGENESIS 2 (OMIM:615935), PANCREATIC AND CEREBELLAR AGENESIS (OMIM:609069)"
"FKRP (79147)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:606612), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613153), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:607155)"
"PUF60 (22827)","VERHEIJ SYNDROME (OMIM:615583)"
"POLG (5428)","MITOCHONDRIAL DNA DEPLETION SYNDROME 4A ... (OMIM:203700), MITOCHONDRIAL DNA DEPLETION SYNDROME 4B ... (OMIM:613662), PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:258450), PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:157640), SENSORY ATAXIC NEUROPATHY, DYSARTHRIA, A... (OMIM:607459)"
"MPDU1 (9526)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:609180)"
"TTI2 (80185)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615541)"
"EFEMP2 (30008)","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IB (OMIM:614437)"
"CEP290 (80184)","JOUBERT SYNDROME 5 (OMIM:610188), BARDET-BIEDL SYNDROME 14 (OMIM:615991), LEBER CONGENITAL AMAUROSIS 10 (OMIM:611755), SENIOR-LOKEN SYNDROME 6 (OMIM:610189), MECKEL SYNDROME, TYPE 4 (OMIM:611134)"
"RTTN (25914)","POLYMICROGYRIA WITH SEIZURES (OMIM:614833)"
"ARX (170302)","MENTAL RETARDATION, X-LINKED, WITH OR WI... (OMIM:300419), CORPUS CALLOSUM, AGENESIS OF, WITH ABNOR... (OMIM:300004), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:308350), LISSENCEPHALY, X-LINKED, 2 (OMIM:300215), PARTINGTON X-LINKED MENTAL RETARDATION S... (OMIM:309510)"
"DOLK (22845)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:610768)"
"TUBB (203068)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:615771)"
"LARS (51520)","INFANTILE LIVER FAILURE SYNDROME 1 (OMIM:615438)"
"ARFGEF2 (10564)","PERIVENTRICULAR HETEROTOPIA WITH MICROCE... (OMIM:608097)"
"SHH (6469)","SCHIZENCEPHALY (OMIM:269160), MICROPHTHALMIA, ISOLATED, WITH COLOBOMA ... (OMIM:611638), HOLOPROSENCEPHALY 3 (OMIM:142945), SOLITARY MEDIAN MAXILLARY CENTRAL INCISO... (OMIM:147250)"
"IKBKG (8517)","INCONTINENTIA PIGMENTI (OMIM:308300), IMMUNODEFICIENCY WITHOUT ANHIDROTIC ECTO... (OMIM:300584), ECTODERMAL DYSPLASIA, HYPOHIDROTIC, WITH... (OMIM:300291), IMMUNODEFICIENCY 33 (OMIM:300636), ECTODERMAL DYSPLASIA, ANHIDROTIC, WITH I... (OMIM:300301), INVASIVE PNEUMOCOCCAL DISEASE, RECURRENT... (OMIM:300640)"
"COX7B (1349)","APLASIA CUTIS CONGENITA, RETICULOLINEAR,... (OMIM:300887)"
"PHF6 (84295)","BORJESON-FORSSMAN-LEHMANN SYNDROME (OMIM:301900)"
"POR (5447)","ANTLEY-BIXLER SYNDROME WITH GENITAL ANOM... (OMIM:201750), DISORDERED STEROIDOGENESIS DUE TO CYTOCH... (OMIM:613571)"
"PORCN (64840)","FOCAL DERMAL HYPOPLASIA (OMIM:305600)"
"POMGNT1 (55624)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613151), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:253280), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:613157)"
"COX15 (1355)","LEIGH SYNDROME (OMIM:256000), CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE... (OMIM:615119)"
"TSEN54 (283989)","PONTOCEREBELLAR HYPOPLASIA, TYPE 2A (OMIM:277470), PONTOCEREBELLAR HYPOPLASIA, TYPE 4 (OMIM:225753), OLIVOPONTOCEREBELLAR HYPOPLASIA, FETAL-O... (OMIM:610204)"
"MSD (4434)","PAINE SYNDROME (OMIM:311400)"
"XPA (7507)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278700)"
"CHD7 (55636)","CHARGE SYNDROME (OMIM:214800), HYPOGONADOTROPIC HYPOGONADISM 5 WITH OR ... (OMIM:612370)"
"POMT1 (10585)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:236670), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:609308), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613155)"
"STIL (6491)","MICROCEPHALY 7, PRIMARY, AUTOSOMAL RECES... (OMIM:612703)"
"CPT2 (1376)","CARNITINE PALMITOYLTRANSFERASE II DEFICI... (OMIM:600649), CARNITINE PALMITOYLTRANSFERASE II DEFICI... (OMIM:608836), CARNITINE PALMITOYLTRANSFERASE II DEFICI... (OMIM:255110)"
"SIX3 (6496)","HOLOPROSENCEPHALY 2 (OMIM:157170), SCHIZENCEPHALY (OMIM:269160)"
"SKI (6497)","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYN... (OMIM:182212)"
"AP3B1 (8546)","HERMANSKY-PUDLAK SYNDROME 2 (OMIM:608233)"
"SP110 (3431)","HEPATIC VENOOCCLUSIVE DISEASE WITH IMMUN... (OMIM:235550)"
"CREBBP (1387)","RUBINSTEIN-TAYBI SYNDROME 1 (OMIM:180849)"
"SHANK3 (85358)","SCHIZOPHRENIA 15 (OMIM:613950), PHELAN-MCDERMID SYNDROME (OMIM:606232)"
"SLC2A1 (6513)","GLUT1 DEFICIENCY SYNDROME 2 (OMIM:612126), DYSTONIA 9 (OMIM:601042), GLUT1 DEFICIENCY SYNDROME 1 (OMIM:606777)"
"MMACHC (25974)","METHYLMALONIC ACIDURIA AND HOMOCYSTINURI... (OMIM:277400)"
"LARP7 (51574)","ALAZAMI SYNDROME (OMIM:615071)"
"STAMBP (10617)","MICROCEPHALY-CAPILLARY MALFORMATION SYND... (OMIM:614261)"
"ZIC2 (7546)","HOLOPROSENCEPHALY 5 (OMIM:609637)"
"EPG5 (57724)","VICI SYNDROME (OMIM:242840)"
"THOC6 (79228)","BEAULIEU-BOYCOTT-INNES SYNDROME (OMIM:613680)"
"CASK (8573)","MENTAL RETARDATION AND MICROCEPHALY WITH... (OMIM:300749), FG SYNDROME 4 (OMIM:300422)"
"MTFMT (123263)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:614947)"
"CEP63 (80254)","SECKEL SYNDROME 6 (OMIM:614728)"
"TUBGCP6 (85378)","MICROCEPHALY AND CHORIORETINOPATHY, AUTO... (OMIM:251270)"
"SLC6A8 (6535)","CEREBRAL CREATINE DEFICIENCY SYNDROME 1 (OMIM:300352)"
"PPP2R1A (5518)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616362)"
"TRMT10A (93587)","MICROCEPHALY, SHORT STATURE, AND IMPAIRE... (OMIM:616033)"
"RAB3GAP1 (22930)","WARBURG MICRO SYNDROME 1 (OMIM:600118)"
"RAB18 (22931)","WARBURG MICRO SYNDROME 3 (OMIM:614222)"
"C2CD3 (26005)","OROFACIODIGITAL SYNDROME XIV (OMIM:615948)"
"VIPAS39 (63894)","ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND C... (OMIM:613404)"
"PIEZO2 (63895)","MARDEN-WALKER SYNDROME (OMIM:248700), ARTHROGRYPOSIS, DISTAL, TYPE 5 (OMIM:108145), ARTHROGRYPOSIS, DISTAL, TYPE 3 (OMIM:114300)"
"IGF1 (3479)","INSULIN-LIKE GROWTH FACTOR I DEFICIENCY (OMIM:608747)"
"IGF1R (3480)","INSULIN-LIKE GROWTH FACTOR I, RESISTANCE... (OMIM:270450)"
"KANSL1 (284058)","KOOLEN-DE VRIES SYNDROME (OMIM:610443)"
"ARSE (415)","CHONDRODYSPLASIA PUNCTATA 1, X-LINKED RE... (OMIM:302950)"
"MIR17HG (407975)","FEINGOLD SYNDROME 2 (OMIM:614326)"
"PPT1 (5538)","CEROID LIPOFUSCINOSIS, NEURONAL, 1 (OMIM:256730)"
"G6PC3 (92579)","NEUTROPENIA, SEVERE CONGENITAL, 4, AUTOS... (OMIM:612541)"
"SLC16A2 (6567)","ALLAN-HERNDON-DUDLEY SYNDROME (OMIM:300523)"
"ZNF592 (9640)","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:606937)"
"CTCF (10664)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:615502)"
"FARS2 (10667)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:614946)"
"MTHFR (4524)","HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,... (OMIM:236250)"
